이름,카테고리,도로명주소,지번주소,전화번호,장소ID,X(경도),Y(위도),메모,등록일
"마이갈비탄현본점육류,고기요리","","","경기도 고양시 일산서구 일산동 2042","","","","","",""
"덕소숯불고기 본점육류,고기요리","","","경기도 남양주시 와부읍 월문리 1122-4 덕소숯불고기","","","","","",""
"장충동한양할머니족발족발,보쌈","","","경기도 고양시 일산동구 백석동 1277-1","","","","","",""
"들밥한식","","","경기도 광주시 양벌동 234-1","","","","","",""
"미성식당찌개,전골","","","경기도 구리시 수택동 374-22","","","","","",""
"경남식당해물,생선요리","","","경기도 고양시 덕양구 지축동 598","","","","","",""
"설참치 일산백석본점생선회","","","경기도 고양시 일산동구 백석동 1284-1 1층","","","","","",""
"청담추어정추어탕","","","경기도 고양시 일산서구 덕이동 309-92","","","","","",""
"송담추어탕 본점추어탕","","","경기도 수원시 권선구 구운동 476-7","","","","","",""
"지리산어탕국수국수","","","경기도 고양시 덕양구 행주내동 104-4","","","","","",""
"돼지집돼지고기구이","","","경기도 광명시 소하동 1369-2 1, 2층 돼지집","","","","","",""
"맛자랑칼국수한식","","","경기도 시흥시 정왕동 2042-12","","","","","",""
"유주희즉석손만두국칼국수칼국수,만두","","","경기도 광주시 목현동 421-2","","","","","",""
"미쓰발랑코한식","","","경기도 부천시 원미구 중동 1126-1 필그린타워 206호 미쓰발랑코","","","","","",""
"원차우","","","경기도 남양주시 진접읍 장현리 86-6","","","","","",""
"정진식당돼지고기구이","","","경기도 구리시 교문동 199-8 1층 정진식당","","","","","",""
"장가계중식당","","","경기도 고양시 덕양구 원흥동 665-1","","","","","",""
"최현숙족발보쌈 본점","","","경기도 고양시 덕양구 화정동 983-1","","","","","",""
"맛나는아지트찌개,전골","","","경기도 성남시 수정구 신흥동 4097","","","","","",""
"목향원한식","","","경기도 남양주시 별내동 2335-3 목향원","","","","","",""
"천장어 작동점장어,먹장어요리","","","경기도 부천시 오정구 작동 221","","","","","",""
"행복초밥초밥,롤","","","경기도 고양시 일산서구 덕이동 527-4 1층 행복초밥","","","","","",""
"풍경돌판구이 성남본점오리요리","","","경기도 성남시 수정구 태평동 7272-4","","","","","",""
"제주도야지 삼송점","","","경기도 고양시 덕양구 신원동 629","","","","","",""
"굴토리굴요리","","","경기도 고양시 일산서구 대화동 2302-1 1층","","","","","",""
"내조삼계탕 부천점백숙,삼계탕","","","경기도 부천시 원미구 중동 1158-6 2층","","","","","",""
"문어스토리해천 본점해물,생선요리","","","경기도 화성시 반월동 110-10 1층2층 전체","","","","","",""
"백년족발보쌈족발,보쌈","","","경기도 고양시 일산서구 탄현동 1560-6","","","","","",""
"동래파전전,빈대떡","","","경기도 성남시 수정구 신흥동 3853","","","","","",""
"오실장강남면옥 탄현점냉면","","","경기도 고양시 일산서구 탄현동 1500-12","","","","","",""
"더 비스트로 조선양식","","","경기도 고양시 일산서구 덕이동 388 더 비스트로 조선","","","","","",""
"다랑치마을한식","","","경기도 부천시 원미구 중동 1137-5","","","","","",""
"스시윤 라페점","","","경기도 고양시 일산동구 장항동 735","","","","","",""
"임가네갈비육류,고기요리","","","경기도 시흥시 정왕동 1863 대림1차아파트","","","","","",""
"오늘손칼국수&찜 성남점칼국수,만두","","","경기도 성남시 수정구 신흥동 3774","","","","","",""
"램브로 광주본점양꼬치","","","경기도 광주시 경안동 421 1층","","","","","",""
"탤런트 박철호의 덕이동주막보리밥","","","경기도 고양시 일산서구 덕이동 393","","","","","",""
"별미진미한식","","","경기도 고양시 일산동구 백석동 1411-4 1층","","","","","",""
"설반한식","","","경기도 김포시 양촌읍 석모리 1040-7","","","","","",""
"먹쇠","","","경기도 고양시 일산서구 주엽동 19","","","","","",""
"마구로야생선회","","","경기도 고양시 덕양구 화정동 909-2 은하수빌딩 101, 102호","","","","","",""
"아리랑면옥 본점","","","경기도 고양시 일산서구 덕이동 322-1","","","","","",""
"도농병천토종순대순대,순댓국","","","경기도 남양주시 다산동 4026-6","","","","","",""
"홍종흔베이커리베이커리","","","경기도 군포시 대야미동 5","","","","","",""
"양촌리민물장어 김포본점장어,먹장어요리","","","경기도 김포시 양촌읍 양곡리 122-1","","","","","",""
"소이연남 스타필드고양점태국음식","","","경기도 고양시 덕양구 동산동 370 1F","","","","","",""
"정담명가 남원추어탕추어탕","","","경기도 용인시 기흥구 영덕동 1272","","","","","",""
"서글렁탕돼지고기구이","","","서울특별시 영등포구 여의도동 53 우정빌딩","","","","","",""
"등촌 최월선칼국수칼국수,만두","","","서울특별시 강서구 등촌동 654-95","","","","","",""
"영춘옥곰탕,설렁탕","","","서울특별시 종로구 돈의동 131-1","","","","","",""
"송림식당기사식당","","","서울특별시 광진구 자양동 227-136","","","","","",""
"소호정 본점국수","","","서울특별시 서초구 양재동 392-11 소호정본관","","","","","",""
"꽃피는산골요리주점","","","서울특별시 종로구 인사동 232","","","","","",""
"구찌라쿠돈가스","","","서울특별시 강남구 수서동 724 로즈데일오피스텔 지하2층","","","","","",""
"부일숯불갈비육류,고기요리","","","서울특별시 영등포구 영등포동3가 23-11","","","","","",""
"부산자갈치꼼장어한식","","","서울특별시 영등포구 신길동 449-1","","","","","",""
"신토불이 떡볶이 본점떡볶이","","","서울특별시 광진구 구의동 52-17","","","","","",""
"가락골마산아구찜아귀찜,해물찜","","","서울특별시 송파구 가락동 49-7 1층","","","","","",""
"춘자싸롱요리주점","","","서울특별시 구로구 구로동 1124-59","","","","","",""
"순이네아구찜","","","서울특별시 양천구 신정동 1049-3","","","","","",""
"방학동 오뎅부대찌개찌개,전골","","","서울특별시 도봉구 방학동 654-19 1층","","","","","",""
"구뜰집육류,고기요리","","","서울특별시 서초구 방배동 874-3 1층, 구뜰집","","","","","",""
"유림 닭도리탕닭요리","","","서울특별시 강서구 염창동 280-6 유림","","","","","",""
"낙성곱창곱창,막창,양","","","서울특별시 동작구 사당동 1003-18","","","","","",""
"장수감자탕감자탕","","","서울특별시 성북구 길음동 489-58 장수감자탕","","","","","",""
"장수한방족발보쌈족발,보쌈","","","서울특별시 성북구 종암동 124-64 1층2층","","","","","",""
"미정이네식당해물,생선요리","","","서울특별시 성동구 성수동2가 335-138","","","","","",""
"수원식당한식","","","서울특별시 금천구 시흥동 884-3 1층","","","","","",""
"멸치국수국수","","","서울특별시 은평구 응암동 89-46 2층","","","","","",""
"울타리곱창곱창,막창,양","","","서울특별시 중랑구 중화동 298-21 1층","","","","","",""
"엄탕 구의점찌개,전골","","","서울특별시 광진구 구의동 248-137","","","","","",""
"대한옥곰탕,설렁탕","","","서울특별시 영등포구 영등포동2가 221-1 1층 대한옥","","","","","",""
"별미볶음점한식","","","서울특별시 영등포구 여의도동 36-2 여의도백화점 지하 1층","","","","","",""
"조가네갑오징어 사당점오징어요리","","","서울특별시 동작구 사당동 1041-5 1층","","","","","",""
"보배반점 하월곡점중식당","","","서울특별시 성북구 하월곡동 90-1695","","","","","",""
"강촌숯불닭갈비 본점닭갈비","","","서울특별시 구로구 구로동 29-22","","","","","",""
